"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL87939";"";"None";"243.31";"0";"1.56";"14";"COc1ccc2cc(S(N)(=O)=O)sc2c1";"IC50";"'='";"8.8";"nM";"8.06";"";"";"UO_0000065";"33.11";"0.73";"6.50";"11.61";"0";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"8.8"
"CHEMBL311263";"";"None";"471.62";"0";"-0.04";"20C";"COCCOCCN(CCOC)CCC1CNc2cc(S(N)(=O)=O)sc2S1(=O)=O";"IC50";"'='";"1.45";"nM";"8.84";"";"";"UO_0000065";"18.74";"0.42";"8.88";"6.44";"0";"CHEMBL656577";"Tested for ability to inhibit human erythrocyte carbonic-anhydrase-II- (HCA II) catalyzed carbon dioxide hydration";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127476";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"1.45E-9"
"CHEMBL3415384";"";"None";"369.49";"0";"-0.57";"6a";"CCN[C@H]1CN(CCCO)S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"165.0";"nM";"6.78";"";"";"UO_0000065";"18.36";"0.42";"7.35";"5.23";"0";"CHEMBL3419422";"Inhibition of human carbonic anhydrase 2 assessed as reduction in enzyme activity incubated for 30 mins by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414464";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"165.0"
"CHEMBL4083620";"";"None";"552.69";"1";"4.11";"7h";"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1cccc(S(N)(=O)=O)c1";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4047030";"Inhibition of human CA2 catalytic activity pre-incubated for 15 mins followed by 4-NPA substrate addition and measured every 12 to 15 secs for 5 mins by spectrophotometry";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4043217";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"300.0"
"CHEMBL4059816";"";"None";"566.72";"1";"4.04";"7k";"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)Cc1ccc(S(N)(=O)=O)cc1";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4047030";"Inhibition of human CA2 catalytic activity pre-incubated for 15 mins followed by 4-NPA substrate addition and measured every 12 to 15 secs for 5 mins by spectrophotometry";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4043217";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"500.0"
"CHEMBL4098852";"";"None";"553.68";"1";"3.51";"7o";"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1ccc(S(N)(=O)=O)cn1";"IC50";"'='";"5000.0";"nM";"5.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4047030";"Inhibition of human CA2 catalytic activity pre-incubated for 15 mins followed by 4-NPA substrate addition and measured every 12 to 15 secs for 5 mins by spectrophotometry";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4043217";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"5000.0"
"CHEMBL2440429";"";"None";"317.17";"0";"1.89";"20";"O=P(O)(O)C(Nc1cccc2ccccc12)P(=O)(O)O";"IC50";"'='";"9091.0";"nM";"5.04";"";"";"UO_0000065";"15.89";"0.34";"3.15";"3.97";"0";"CHEMBL3240045";"Inhibition of human recombinant carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232909";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"9.091"
"CHEMBL5082154";"";"None";"390.41";"0";"-2.09";"8b";"CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)c1ccc(S(N)(=O)=O)cc1";"IC50";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"19.10";"0.39";"9.55";"4.43";"0";"CHEMBL5031403";"Inhibition of recombinant human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5030527";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"INHIBITOR";"";"0.035"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"acetazolamide";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"33.98";"0.79";"8.41";"6.57";"0";"CHEMBL930029";"Inhibition of human carbonic anhydrase 2 assessed as 4-nitrophenyl acetate hydrolysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141547";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"28.0"
"CHEMBL66752";"";"None";"245.37";"0";"1.60";"6c";"NS(=O)(=O)CSCCCc1ccccc1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"24.13";"0.54";"4.32";"9.84";"0";"CHEMBL657917";"In vitro inhibition of purified human erythrocyte carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126746";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"1200.0"
"CHEMBL3291013";"";"None";"452.27";"0";"1.18";"14";"O=[N+]([O-])c1ccc(-c2ccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)cc2)cc1";"IC50";"'='";"71.0";"nM";"7.15";"";"";"UO_0000065";"15.81";"0.35";"5.97";"3.50";"0";"CHEMBL3292802";"Inhibition of human recombinant carbonic anhydrase 2 pretreated for 15 mins by stopped flow CO2 hydrase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286097";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"0.071"
"CHEMBL5083451";"";"None";"390.41";"0";"-2.09";"8e";"CCO[C@@H]1O[C@H](CNC(=O)c2ccc(S(N)(=O)=O)cc2)[C@H](O)[C@H](O)[C@H]1O";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"17.48";"0.36";"8.91";"4.05";"0";"CHEMBL5032271";"Inhibition of recombinant human CA2 using 4-nitrophenylacetate as substrate by esterase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5030561";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"INHIBITOR";"";"0.15"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"AAZ";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"35.64";"0.83";"8.78";"6.89";"1";"CHEMBL5032271";"Inhibition of recombinant human CA2 using 4-nitrophenylacetate as substrate by esterase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5030561";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"";"INHIBITOR";"";"0.012"
"CHEMBL421106";"";"None";"271.40";"0";"1.01";"7d";"CCCCCCCCS(=O)(=O)CS(N)(=O)=O";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"28.22";"0.65";"6.65";"8.12";"0";"CHEMBL657917";"In vitro inhibition of purified human erythrocyte carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126746";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"22.0"
"CHEMBL66129";"";"None";"291.35";"0";"-1.72";"7e";"COCCOCCOCS(=O)(=O)CS(N)(=O)=O";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"20.20";"0.47";"7.61";"4.83";"0";"CHEMBL657917";"In vitro inhibition of purified human erythrocyte carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126746";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"1300.0"
"CHEMBL82813";"";"None";"229.28";"0";"1.25";"21";"NS(=O)(=O)c1cc2cc(O)ccc2s1";"IC50";"'='";"6.2";"nM";"8.21";"";"";"UO_0000065";"35.80";"0.80";"6.96";"10.21";"0";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"6.2"
"CHEMBL4064130";"";"None";"469.98";"1";"5.44";"2";"O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2cccc(Cl)c2)o1";"IC50";"'='";"0.53";"nM";"9.28";"";"";"UO_0000065";"19.74";"0.41";"3.84";"10.04";"0";"CHEMBL4035707";"Inhibition of carbonic anhydrase-2 in human erythrocyte membranes assessed as reduction in H+ release using CO2 as substrate by bromine thymol blue indicator based assay";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033689";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"0.53"
"CHEMBL466517";"";"None";"242.32";"0";"1.19";"17, JNJ-26990990";"NS(=O)(=O)NCc1csc2ccccc12";"IC50";"'='";"110000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1012375";"Inhibition of human carbonic anhydrase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136867";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"110.0"
"CHEMBL1163131";"";"None";"237.28";"0";"1.08";"2";"Cc1ccc(S(=O)(=O)N2CC=CC2=O)cc1";"IC50";"'='";"18180.0";"nM";"4.74";"";"";"UO_0000065";"19.98";"0.40";"3.66";"8.71";"0";"CHEMBL1167750";"Inhibition of esterase activity of human carbonic anhydrase 1 by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1166009";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"18.18"
"CHEMBL1164744";"";"None";"295.32";"0";"0.97";"12";"CC(=O)OC1C=CC(=O)N1S(=O)(=O)c1ccc(C)cc1";"IC50";"'='";"7970.0";"nM";"5.10";"";"";"UO_0000065";"17.26";"0.35";"4.13";"6.31";"0";"CHEMBL1167750";"Inhibition of esterase activity of human carbonic anhydrase 1 by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1166009";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"7.97"
"CHEMBL543792";"";"None";"340.92";"0";"2.36";"59";"CC(C)CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl";"IC50";"'='";"2.8";"nM";"8.55";"";"";"UO_0000065";"28.09";"0.65";"6.19";"11.85";"0";"CHEMBL656579";"In vitro inhibitory activity against human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125927";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"2.8E-9"
"CHEMBL544827";"";"None";"388.94";"0";"2.37";"16b";"CC(C)CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl";"IC50";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"23.60";"0.49";"5.95";"9.32";"0";"CHEMBL656569";"Inhibition of human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125318";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"4.8E-9"
"CHEMBL542122";"";"None";"396.94";"0";"1.59";"57";"CC(C=O)N(Cc1cc2cc(S(N)(=O)=O)sc2s1)C(C)C=O.Cl";"IC50";"'='";"2.71";"nM";"8.57";"";"";"UO_0000065";"23.77";"0.53";"6.98";"8.78";"0";"CHEMBL656578";"The compound was tested for in vitro inhibitory activity against human Carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125927";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"2.71E-9"
"CHEMBL155420";"";"None";"283.35";"0";"-0.91";"20";"NS(=O)(=O)c1cc2c(s1)CC(O)CS2(=O)=O";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"26.11";"0.63";"8.31";"6.46";"0";"CHEMBL656573";"In vitro inhibition against purified human erythrocyte carbonic anhydrase II was determined (acetozolamide used as control.)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"4E-8"
"CHEMBL2092886";"";"None";"283.35";"0";"-0.39";"S-4";"NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC[C@@H]2O";"IC50";"'='";"7.5";"nM";"8.12";"";"";"UO_0000065";"28.67";"0.69";"8.51";"7.09";"0";"CHEMBL656573";"In vitro inhibition against purified human erythrocyte carbonic anhydrase II was determined (acetozolamide used as control.)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"7.5E-9"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"AAZ";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"2800.0";"nM";"5.55";"";"";"UO_0000065";"24.98";"0.58";"6.41";"4.83";"0";"CHEMBL1073569";"Inhibition of hydratase-activity of human erythrocytes CA2 by CO2-hydration method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157726";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"2.8"
"CHEMBL83708";"";"None";"356.47";"0";"3.21";"24";"CCCCCCCC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1";"IC50";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"24.67";"0.52";"5.59";"8.85";"0";"CHEMBL656575";"In vitro inhibitory activity against human Carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"1.6E-9"
"CHEMBL312635";"";"None";"300.36";"0";"1.65";"19";"CCCC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1";"IC50";"'='";"3.2";"nM";"8.49";"";"";"UO_0000065";"28.28";"0.61";"6.84";"8.55";"0";"CHEMBL656574";"In vitro inhibition of human Carbonic Anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"3.2E-9"
"CHEMBL2092885";"";"None";"346.88";"0";"0.22";"R-4";"CCN[C@@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl";"IC50";"'='";"20.6";"nM";"7.69";"";"";"UO_0000065";"24.76";"0.58";"7.47";"7.23";"0";"CHEMBL656566";"50% inhibitory concentration against human carbonic anhydrase II (HCA II) after pre-incubation at 3 degree C";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124372";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"20.6"
"CHEMBL176495";"";"None";"187.22";"0";"-0.38";"3";"NNc1ccccc1S(N)(=O)=O";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"37.91";"0.81";"7.48";"7.23";"0";"CHEMBL828069";"Inhibitory concentration against human cystolic isozyme II of Carbonic anhydrase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138639";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.08"
